timestamp_ms,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x,gyro_y,gyro_z
28132929,-9.830592016601562,-0.047884033203124995,0.2154781494140625,153,-75,11
28132939,-9.811438403320311,-0.033518823242187495,0.2059013427734375,153,-74,11
28132949,-9.811438403320311,-0.1149216796875,0.1771709228515625,153,-75,11
28132959,-9.80665,-0.09576806640624999,0.15322890625,152,-75,10
28132969,-9.763554370117188,-0.023942016601562498,0.16759411621093748,152,-75,10
28132979,-9.80665,-0.086191259765625,0.22026655273437498,152,-75,11
28132989,-9.782707983398437,-0.08140285644531249,0.258573779296875,153,-75,11
28132999,-9.792284790039062,-0.1292868896484375,0.1867477294921875,153,-74,10
28133009,-9.801861596679688,-0.0526724365234375,0.22026655273437498,153,-75,10
28133019,-9.82580361328125,-0.01915361328125,0.2059013427734375,153,-74,10
28133029,-9.816226806640625,-0.076614453125,0.2154781494140625,152,-75,11
28133039,-9.80665,-0.0526724365234375,0.1867477294921875,153,-75,10
28133049,-9.859322436523437,-0.1197100830078125,0.19153613281249998,152,-74,11
28133059,-9.816226806640625,-0.076614453125,0.2154781494140625,152,-75,10
28133069,-9.821015209960937,-0.1149216796875,0.15322890625,153,-74,10
28133079,-9.840168823242188,-0.08140285644531249,0.201112939453125,153,-75,10
28133089,-9.787496386718749,-0.143652099609375,0.2059013427734375,153,-75,10
28133099,-9.82580361328125,-0.08140285644531249,0.19632453613281248,153,-75,11
28133109,-9.854534033203125,-0.11013327636718749,0.201112939453125,153,-75,11
28133119,-9.792284790039062,-0.1005564697265625,0.22505495605468748,153,-74,11
28133129,-9.878476049804688,-0.0909796630859375,0.1867477294921875,153,-75,10
28133139,-9.782707983398437,-0.0526724365234375,0.26336218261718747,152,-74,10
28133149,-9.821015209960937,-0.1005564697265625,0.21068974609375,153,-75,10
28133159,-9.835380419921874,-0.06703764648437499,0.2059013427734375,153,-74,0
